RA (J2000),Dec (J2000)
ra,dec
19 24 19.733,+36 52 51.10
19 23 38.393,+37 04 41.56
19 22 20.618,+37 12 58.36
19 04 58.185,+37 23 03.05
19 29 17.275,+37 21 54.07
19 29 38.796,+37 20 12.84
19 29 48.718,+37 18 05.83
19 21 44.686,+37 28 29.60
19 22 08.095,+37 27 26.93
19 31 26.631,+37 27 26.92
19 06 41.693,+37 35 04.56
19 30 01.728,+37 30 21.96
19 03 50.820,+37 37 03.72
19 20 44.085,+37 37 47.06
19 23 01.111,+37 40 14.30
19 23 16.767,+37 39 59.51
19 06 52.452,+37 46 08.15
19 21 06.660,+37 43 03.36
19 22 03.060,+37 47 03.30
19 24 55.080,+37 46 31.76
19 31 54.574,+37 47 31.96
19 04 05.544,+37 53 55.93
19 05 12.516,+37 50 56.87
19 22 17.613,+37 53 08.41
19 28 04.399,+37 49 41.70
19 30 52.181,+37 50 55.57
19 31 45.405,+37 49 02.86
19 02 22.214,+37 55 29.93
19 08 59.760,+37 55 21.25
19 22 33.631,+37 58 26.00
19 24 28.752,+37 58 58.73
19 28 30.605,+37 54 53.82
19 29 21.216,+37 59 46.18
19 04 57.319,+38 01 14.63
19 22 50.467,+38 02 58.06
19 26 04.356,+38 00 13.00
19 26 27.993,+38 02 05.21
19 26 54.998,+38 04 12.07
19 28 28.416,+38 01 10.52
19 28 35.153,+38 01 45.70
19 29 22.392,+38 02 59.35
19 30 28.920,+38 05 03.23
19 32 14.748,+38 05 43.94
19 32 52.915,+38 02 11.94
19 36 31.428,+38 05 05.03
19 06 04.867,+38 11 30.95
19 08 31.721,+38 06 26.86
19 10 09.267,+38 09 22.32
19 22 44.076,+38 06 58.18
19 23 57.449,+38 06 51.70
19 28 37.380,+38 08 16.87
19 32 03.391,+38 10 41.02
19 36 37.041,+38 11 27.28
19 03 36.717,+38 12 08.17
19 04 06.974,+38 14 39.80
19 05 36.437,+38 13 06.31
19 06 15.214,+38 13 54.55
19 07 22.764,+38 17 58.16
19 09 15.703,+38 12 00.54
19 09 57.223,+38 13 51.56
19 18 45.994,+38 15 52.81
19 19 49.548,+38 13 06.67
19 22 36.170,+38 13 18.30
19 23 06.497,+38 12 55.87
19 24 28.083,+38 12 50.11
19 27 40.802,+38 13 10.13
19 30 07.073,+38 16 58.26
19 38 29.501,+38 15 14.08
19 01 04.735,+38 23 12.08
19 01 58.368,+38 21 24.23
19 05 35.913,+38 23 06.76
19 18 49.236,+38 20 59.42
19 18 55.102,+38 19 19.49
19 19 57.180,+38 21 44.10
19 23 01.349,+38 21 56.20
19 23 48.403,+38 22 48.76
19 24 19.512,+38 20 47.00
19 26 26.390,+38 23 41.86
19 31 35.966,+38 22 12.11
19 01 21.513,+38 28 14.27
19 10 27.341,+38 28 52.82
19 13 07.755,+38 27 34.34
19 18 07.802,+38 26 27.46
19 18 23.966,+38 24 21.67
19 19 07.841,+38 25 04.08
19 19 27.607,+38 27 51.34
19 30 45.554,+38 25 57.68
19 31 12.406,+38 26 32.14
19 36 01.390,+38 27 57.13
19 03 39.996,+38 34 19.85
19 07 35.885,+38 34 56.35
19 13 23.047,+38 33 34.13
19 13 39.742,+38 32 26.95
19 13 57.598,+38 31 24.46
19 22 49.642,+38 35 40.34
19 23 02.741,+38 31 55.20
19 38 11.503,+38 33 14.90
19 38 13.017,+38 34 59.92
19 38 52.135,+38 30 37.84
19 40 50.117,+38 32 27.10
19 08 50.139,+38 40 29.93
19 12 20.398,+38 41 16.98
19 25 29.033,+38 38 36.42
19 29 56.158,+38 38 55.54
19 38 44.213,+38 36 02.20
19 41 02.436,+38 38 02.36
19 42 02.822,+38 39 32.94
19 12 28.531,+38 44 51.68
19 25 34.594,+38 43 21.07
19 34 12.626,+38 47 39.44
19 35 31.639,+38 44 26.99
19 41 49.646,+38 45 41.15
19 42 09.931,+38 46 30.94
18 58 50.015,+38 53 09.74
19 12 48.506,+38 52 12.72
19 22 43.853,+38 51 01.19
19 25 55.034,+38 50 13.34
19 26 30.790,+38 51 48.74
19 27 54.343,+38 53 18.92
19 37 35.885,+38 51 10.37
19 38 46.260,+38 51 32.47
19 40 27.369,+38 53 43.04
19 41 26.273,+38 48 46.01
19 41 36.542,+38 48 43.60
19 42 09.838,+38 52 08.83
19 42 34.370,+38 52 48.72
19 10 05.146,+38 54 38.70
19 16 20.028,+38 58 13.76
19 25 37.345,+38 54 52.16
19 26 24.710,+38 58 32.66
19 42 07.970,+38 56 10.90
19 43 13.102,+38 59 04.49
19 02 26.971,+39 03 05.98
19 03 42.564,+39 00 10.04
19 08 50.683,+39 03 32.51
19 12 40.241,+39 03 33.77
19 23 00.345,+39 03 48.82
19 25 01.334,+39 05 47.29
19 29 37.245,+39 02 11.04
19 29 59.402,+39 03 17.57
19 35 45.586,+39 04 30.68
19 37 14.553,+39 02 58.92
19 38 24.094,+39 04 58.87
19 40 08.076,+39 02 19.46
19 43 47.136,+39 01 47.71
19 44 42.271,+39 01 39.40
19 45 00.088,+39 03 34.78
19 00 37.553,+39 11 23.57
19 03 35.086,+39 10 07.72
19 03 55.800,+39 06 30.82
