RA (J2000),Dec (J2000)
ra,dec
19 24 10.337,+36 35 37.72
19 24 05.206,+36 38 37.39
19 25 40.013,+36 43 21.40
19 24 11.398,+36 51 29.74
19 24 11.710,+36 50 23.57
19 26 49.356,+36 50 52.73
19 26 27.931,+36 56 07.91
19 26 54.711,+36 54 13.54
19 27 10.714,+37 01 57.72
19 27 42.597,+37 01 34.79
19 22 05.398,+37 16 06.89
19 23 16.625,+37 12 33.62
19 24 24.358,+37 15 32.58
19 26 02.750,+37 15 54.22
19 27 20.988,+37 16 01.48
19 28 54.211,+37 17 20.47
19 30 11.412,+37 17 55.54
19 30 27.684,+37 17 58.27
19 21 46.567,+37 22 14.27
19 22 43.738,+37 21 18.40
19 25 17.515,+37 19 19.38
19 25 31.102,+37 19 04.26
19 29 04.665,+37 20 20.44
19 30 33.096,+37 18 01.91
19 30 41.249,+37 21 55.44
19 30 48.106,+37 20 13.13
19 23 53.839,+37 29 55.93
19 27 37.738,+37 24 02.56
19 24 25.776,+37 33 05.65
19 04 17.530,+37 39 41.18
19 04 40.758,+37 39 08.49
19 04 40.786,+37 36 06.55
19 06 42.732,+37 39 53.78
19 20 39.477,+37 41 46.97
19 25 50.102,+37 37 08.69
19 25 54.569,+37 37 42.78
19 25 56.465,+37 37 28.49
19 27 31.831,+37 40 01.74
19 29 12.617,+37 41 29.22
19 29 18.567,+37 39 40.07
19 31 04.800,+37 36 41.90
19 21 06.667,+37 47 21.59
19 26 44.006,+37 45 05.72
19 28 46.917,+37 46 55.70
19 30 36.266,+37 42 28.19
19 03 35.981,+37 49 33.55
19 05 39.240,+37 49 21.40
19 07 50.916,+37 51 46.19
19 20 56.206,+37 52 18.52
19 21 40.997,+37 51 06.48
19 29 01.147,+37 52 48.71
19 30 19.711,+37 52 38.28
19 33 45.649,+37 50 31.41
19 34 24.387,+37 49 52.32
19 02 38.796,+37 57 52.20
19 02 40.877,+37 57 50.72
19 04 12.802,+37 59 51.18
19 04 15.002,+37 54 09.79
19 05 08.695,+37 59 13.24
19 05 29.615,+37 55 08.40
19 05 38.950,+37 54 29.52
19 08 43.113,+37 58 47.78
19 21 29.071,+37 54 18.47
19 22 34.224,+37 59 11.83
19 25 20.158,+37 57 08.10
19 26 30.142,+37 59 57.44
19 26 46.738,+37 54 29.02
19 27 21.701,+37 59 21.88
19 27 51.252,+37 55 15.85
19 32 00.636,+37 56 32.82
19 02 06.235,+38 03 19.51
19 03 47.340,+38 03 54.00
19 03 55.872,+38 04 37.81
19 04 57.319,+38 01 14.63
19 06 13.467,+38 05 15.68
19 08 02.321,+38 04 49.80
19 10 04.171,+38 03 20.77
19 27 32.746,+38 04 43.03
19 30 25.678,+38 04 49.66
19 31 39.562,+38 02 49.96
19 32 14.748,+38 05 43.94
19 02 18.605,+38 08 21.05
19 04 39.593,+38 07 01.99
19 08 19.298,+38 07 59.81
19 10 16.395,+38 09 50.18
19 22 06.420,+38 08 34.73
19 31 35.863,+38 08 04.88
19 31 36.722,+38 08 08.52
19 36 34.889,+38 07 26.72
19 37 57.590,+38 11 58.63
19 04 00.739,+38 17 08.59
19 08 01.287,+38 17 54.56
19 09 38.807,+38 17 09.11
19 09 49.276,+38 14 22.52
19 11 48.552,+38 14 48.34
19 18 41.217,+38 17 52.33
19 21 22.442,+38 13 50.95
19 22 37.923,+38 16 46.96
19 25 40.877,+38 13 18.66
19 30 36.833,+38 16 48.40
19 31 37.644,+38 16 27.80
19 32 20.122,+38 13 20.60
19 38 12.394,+38 15 43.49
19 03 17.741,+38 20 15.83
19 06 16.862,+38 23 51.43
19 10 03.691,+38 21 18.54
19 10 40.255,+38 22 46.99
19 12 16.402,+38 19 35.98
19 21 10.630,+38 23 20.76
19 23 51.257,+38 22 57.32
19 24 25.013,+38 19 42.46
19 32 45.182,+38 19 21.29
19 36 46.819,+38 22 07.21
19 38 08.398,+38 20 38.80
19 38 09.758,+38 20 13.45
19 38 17.462,+38 20 08.16
19 01 34.495,+38 26 26.92
19 01 44.443,+38 29 05.75
19 03 22.056,+38 27 13.79
19 08 43.565,+38 28 17.62
19 08 55.817,+38 26 08.45
19 11 54.055,+38 27 52.24
19 12 20.775,+38 26 04.02
19 19 31.260,+38 24 02.02
19 20 50.184,+38 25 55.85
19 23 01.334,+38 25 13.44
19 25 36.818,+38 27 11.52
19 26 45.365,+38 29 56.65
19 27 00.526,+38 24 26.71
19 32 07.193,+38 27 57.64
19 35 45.934,+38 26 32.06
19 36 41.450,+38 24 40.86
19 00 06.271,+38 31 39.18
19 01 04.311,+38 33 49.23
19 02 20.796,+38 30 59.43
19 02 50.317,+38 35 16.08
19 03 33.498,+38 30 27.74
19 13 12.727,+38 34 49.48
19 19 02.457,+38 34 30.97
19 21 00.106,+38 32 42.51
19 24 04.572,+38 32 44.05
19 27 25.853,+38 34 47.92
19 40 33.672,+38 35 51.14
19 41 22.762,+38 34 01.06
19 01 53.047,+38 40 19.34
19 02 17.529,+38 39 48.07
19 05 37.234,+38 40 49.12
19 10 22.872,+38 38 42.14
19 12 30.648,+38 38 44.20
19 24 18.285,+38 40 55.70
19 25 40.390,+38 40 20.50
19 29 14.551,+38 38 59.96
19 31 34.654,+38 40 35.15
19 36 19.656,+38 37 51.10
19 37 36.787,+38 38 39.34
19 38 49.531,+38 38 08.45
19 41 25.224,+38 40 54.70
19 01 41.299,+38 46 50.27
19 07 02.681,+38 43 24.24
19 08 17.131,+38 43 59.09
19 13 08.184,+38 44 47.87
19 21 34.089,+38 42 52.63
19 22 02.973,+38 43 35.94
19 27 03.437,+38 46 07.75
19 30 18.641,+38 43 37.31
19 36 00.821,+38 47 11.80
19 41 03.250,+38 44 45.64
19 01 56.817,+38 52 32.88
19 04 12.573,+38 50 35.95
19 05 56.609,+38 50 28.10
19 21 28.886,+38 51 44.64
19 23 02.141,+38 52 30.40
19 24 15.418,+38 51 31.46
19 29 07.020,+38 49 40.62
19 38 04.985,+38 52 58.01
19 40 53.314,+38 53 59.60
19 43 13.385,+38 50 05.17
18 58 35.837,+38 54 58.46
18 59 59.146,+38 55 16.43
19 00 02.652,+38 59 46.14
19 10 05.146,+38 54 38.70
19 22 43.284,+38 55 26.62
19 24 17.256,+38 56 32.64
19 24 30.718,+38 54 52.88
19 26 01.140,+38 54 06.12
19 26 18.804,+38 58 38.89
19 26 46.522,+38 57 50.65
19 29 22.358,+38 59 00.60
19 36 38.362,+38 58 08.51
19 37 06.214,+38 58 02.14
19 38 24.701,+38 58 23.77
19 38 35.002,+38 57 47.48
19 39 15.641,+38 57 02.50
19 39 32.162,+38 55 30.11
19 39 50.220,+38 57 25.67
19 42 29.642,+38 57 13.14
19 43 50.678,+38 58 49.66
19 00 00.045,+39 02 36.24
19 00 13.291,+39 02 18.49
19 00 50.418,+39 00 21.90
19 03 59.854,+39 03 20.31
19 04 40.051,+39 04 31.69
19 06 15.000,+39 00 00.29
19 07 05.102,+39 00 30.06
19 09 36.819,+39 05 30.51
19 22 45.120,+39 00 18.32
19 26 03.403,+39 03 42.08
19 28 01.925,+39 03 04.61
19 29 22.527,+39 04 09.59
19 30 00.351,+39 03 39.80
19 34 56.071,+39 02 44.45
19 36 34.104,+39 02 43.22
19 37 45.735,+39 00 26.96
19 40 26.825,+39 02 48.55
19 42 49.663,+39 01 21.86
19 44 06.429,+39 05 47.08
19 02 58.569,+39 08 58.68
19 03 15.528,+39 06 45.32
19 03 35.086,+39 10 07.72
19 06 41.439,+39 09 00.43
19 07 50.974,+39 11 57.52
19 18 04.245,+39 06 32.08
19 18 10.833,+39 09 51.95
19 25 19.253,+39 10 47.60
19 29 06.183,+39 06 51.16
19 36 47.705,+39 07 33.49
19 36 56.119,+39 11 58.06
19 37 28.692,+39 09 36.29
19 37 43.179,+39 10 09.55
19 42 40.248,+39 09 54.50
19 43 04.872,+39 06 35.93
19 45 19.181,+39 07 47.86
19 46 18.696,+39 06 41.47
18 58 34.879,+39 13 55.13
18 59 38.605,+39 13 45.24
19 01 37.687,+39 14 46.97
19 03 27.048,+39 12 19.01
19 03 33.161,+39 16 19.09
19 06 06.062,+39 17 46.72
19 07 41.645,+39 12 05.29
19 16 36.355,+39 17 47.83
19 17 59.523,+39 17 54.85
19 24 03.910,+39 14 45.10
19 27 11.661,+39 14 26.09
19 27 40.145,+39 15 26.42
19 27 40.385,+39 13 07.36
19 34 38.769,+39 15 47.07
19 39 46.303,+39 15 27.47
18 58 38.284,+39 21 25.24
18 58 58.445,+39 22 43.75
18 59 34.750,+39 21 40.72
19 00 13.481,+39 20 42.50
19 00 47.606,+39 20 01.21
19 01 16.342,+39 20 53.41
19 01 28.250,+39 20 25.15
19 03 03.240,+39 20 06.94
19 05 32.726,+39 23 38.26
19 06 32.539,+39 21 19.26
19 10 49.858,+39 18 48.67
19 11 32.518,+39 19 25.32
19 15 39.127,+39 18 41.51
19 24 58.037,+39 18 05.00
19 39 37.053,+39 19 32.56
19 42 45.274,+39 23 10.82
19 45 32.479,+39 18 33.77
19 45 53.681,+39 20 39.41
18 59 09.576,+39 26 51.32
18 59 55.802,+39 29 09.82
19 06 26.777,+39 27 00.14
19 11 33.437,+39 25 38.53
19 15 20.897,+39 29 35.45
19 16 56.549,+39 24 29.34
19 28 45.591,+39 29 41.50
19 34 18.890,+39 26 52.73
19 35 00.809,+39 26 29.33
19 39 19.814,+39 24 54.79
19 39 49.658,+39 24 04.36
19 42 23.160,+39 26 42.83
19 45 45.374,+39 29 45.96
18 56 22.862,+39 35 09.10
19 01 26.023,+39 33 54.90
19 04 55.099,+39 33 19.12
19 06 28.598,+39 31 23.63
19 08 58.092,+39 34 49.51
19 10 12.230,+39 34 05.16
19 18 12.907,+39 33 55.73
19 18 42.595,+39 32 36.56
19 19 07.785,+39 32 28.72
19 27 09.833,+39 33 30.89
19 27 47.095,+39 34 07.54
19 28 27.293,+39 31 38.53
19 33 29.515,+39 34 26.26
19 37 01.574,+39 30 46.87
19 39 25.104,+39 32 33.43
19 40 22.853,+39 31 06.31
19 40 27.977,+39 35 08.09
19 42 44.647,+39 31 15.85
19 05 36.974,+39 40 14.92
19 06 49.586,+39 38 48.34
19 07 20.227,+39 40 43.03
19 08 22.709,+39 37 07.46
19 18 50.143,+39 40 56.39
19 20 02.122,+39 40 14.23
19 20 18.384,+39 40 16.72
19 21 57.929,+39 41 57.44
19 28 49.030,+39 39 38.41
19 32 47.815,+39 41 22.42
