_r,_RAJ2000,_DEJ2000,KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
arcsec,h:m:s,d:m:s, ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
----,-----------,-----------,--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
0.03,19 24 19.73,+36 52 51.1,1161491,5105,156,1,PHO,3.512,0.4,0,KIC,-0.095,0.3,0,KIC,1,5105,3.51,-0.1,3.393,1.359,DSEP,4.90E-02,  ,291.08221,36.88086
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 23 38.39,+37 04 41.6,1430239,6512,193,1,PHO,3.598,0.4,0,KIC,0.137,0.3,0,KIC,1,6513,3.595,0.16,3.697,1.962,DSEP,5.47E-02,  ,290.90997,37.07821
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 22 20.62,+37 12 58.4,1717574,5110,157,1,PHO,3.548,0.4,0,KIC,-0.505,0.3,0,KIC,1,5108,3.56,-0.5,2.56,0.867,DSEP,7.28E-02,  ,290.58591,37.21621
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 04 58.18,+37 23 03.0,1849555,7149,222,1,PHO,3.549,0.4,0,KIC,-0.187,0.3,0,KIC,1,7144,3.583,-0.16,3.659,1.871,DSEP,5.38E-02,  ,286.24243,37.38418
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 29 17.28,+37 21 54.1,1872340,5039,149,1,PHO,3.51,0.4,0,KIC,-0.539,0.3,0,KIC,1,5059,3.466,-0.5,2.799,0.834,DSEP,5.36E-02,  ,292.32199,37.36502
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 29 38.80,+37 20 12.8,1872749,5061,148,1,PHO,3.556,0.4,0,KIC,-0.096,0.3,0,KIC,1,5061,3.555,-0.1,3.065,1.23,DSEP,6.02E-02,  ,292.41165,37.3369
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 29 48.72,+37 18 05.8,1872948,7713,269,0,KIC,3.525,0.4,0,KIC,-0.022,0.3,0,KIC,1,7710,3.649,-0.04,3.567,2.068,DSEP,6.41E-02,  ,292.453,37.30162
,,,,,,,,,,,,,,,,,,,,,,,,,,
